Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Popularity,Max quantity,Quantity step,List qty count,Out of stock actions,Promo text,Product URL,Image URL,Detailed image URL,Items in box,Box size,Usergroup IDs,Available since,Product availability,Options type,Exceptions type,Store,Attachments,Variation group code,Variation group id,Variation parent product id,Variation sub group id,Variation set as default,Discussion
"","ja","21","GLOCAL便///湘南サテライト","0.00","270.00","0.000","1","0","0.00","01 Dec 2021 16:57:04","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>葉山バゲット　1本</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=21","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","22","GLOCAL便///湘南サテライト","0.00","330.00","0.000","1","0","0.00","01 Dec 2021 17:01:34","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>葉山ブール　1個</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=22","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","23","湘南グルメ","0.00","178.00","0.000","1","0","0.00","01 Dec 2021 17:05:23","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>葉山ブールハーフ</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=23","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","24","GLOCAL便","0.00","194.00","0.000","1","0","0.00","01 Dec 2021 17:06:05","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>ーリックフランス　1個</p>","","","","","","","","GLOCAL便///湘南サテライト","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=24","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","25","GLOCAL便///湘南サテライト","0.00","170.00","0.000","1","0","0.00","01 Dec 2021 17:07:22","N","","N","B","N","R","","","suzukiya×gloce グロースお食事パッケージプラン・手作りの美味しさと焼きたての香りを！","<p>ベーコンエピ　1個</p>","","","","","","","","","","D","41","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=25","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","26","GLOCAL便///湘南サテライト","0.00","399.00","0.000","1","0","0.00","01 Dec 2021 17:20:03","N","","N","B","N","R","","","suzukiya×gloce グロースmorningプラン","<p>Chayamacrobiotics 発祥、葉山の 食べてキレイになるスープセレクト。<br></p><p>コーンポタージュ160g</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=26","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","27","GLOCAL便///湘南サテライト","0.00","486.00","0.000","1","0","0.00","01 Dec 2021 17:22:28","N","","N","B","N","R","","","suzukiya×gloce グロースmorningプラン","<p>Chayamacrobiotics 発祥、葉山の 食べてキレイになるスープセレクト。</p><p>カボチャシチュー180g</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=27","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","28","GLOCAL便///湘南サテライト","0.00","432.00","0.000","1","0","0.00","01 Dec 2021 17:23:14","N","","N","B","N","R","","","suzukiya×gloce グロースmorningプラン","<p>Chayamacrobiotics 発祥、葉山の 食べてキレイになるスープセレクト。</p><p>ホワイトシチュー200g</p>","","","","","","","","","","D","33","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=28","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","29","湘南グルメ","0.00","399.00","0.000","1","0","0.00","01 Dec 2021 17:24:25","N","","N","B","N","R","","","suzukiya×gloce グロースmorningプラン","<p>Chayamacrobiotics 発祥、葉山の 食べてキレイになるスープセレクト。</p><p>ミネストローネ160g<br></p>","","","","","","","","","","D","30","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=29","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
"","ja","30","GLOCAL便","0.00","17500.00","0.000","1","5","0.00","01 Jan 2022 00:00:00","N","","N","D","N","P","","","BBQデリパリ","<p>2日前にご予約承っております。</p>","","","","","","","","GLOCAL便///宮古島サテライト","","D","35","","","","N","","https://ec-glocal.biz/index.php?dispatch=products.view&product_id=30","","","min:0;max:0","length:0;width:0;height:0","0","","in stock","","","グローカル便","","","","","","","D"
